,Name,Genre,Platform,Publisher,Developer,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales
86,Hello Neighbor,Action,PS4,Gearbox Software,Dynamic Pixels,0.35,0.13,0.16,,0.06
87,Sega Genesis Classics,Misc,PS4,Sega,Sega,0.35,0.08,0.21,,0.05
88,LEGO Harry Potter Collection,Action,NS,Warner Bros. Interactive Entertainment,Traveller's Tales,0.33,0.15,0.16,,0.03
89,The Crew 2,Racing,XOne,Ubisoft,Ivory Tower,0.33,0.2,0.1,,0.03
90,PlayerUnknown's Battlegrounds,Shooter,PS4,Sony Interactive Entertainment,PUBG Corporation,0.33,0.13,0.15,,0.05
91,Kirby: Battle Royale,Fighting,3DS,Nintendo,HAL Laboratory,0.33,0.07,0.05,0.2,0.01
92,Dark Souls: Remastered,Role-Playing,NS,Bandai Namco Entertainment,From Software,0.33,0.16,0.11,0.03,0.03
93,LEGO The Incredibles,Action,XOne,Warner Bros. Interactive Entertainment,Traveller's Tales,0.32,0.19,0.1,,0.03
94,Farming Simulator 19,Simulation,XOne,Focus Home Interactive,Giants Software,0.32,0.19,0.09,,0.03
95,NBA 2K19,Sports,NS,2K Sports,Visual Concepts,0.3,0.24,0.02,0.01,0.03
96,My Hero One's Justice,Fighting,PS4,Bandai Namco Entertainment,Byking,0.3,0.16,0.05,0.04,0.05
97,SoulCalibur VI,Fighting,XOne,Bandai Namco Games,Project Soul,0.3,0.26,0.01,,0.03
98,LEGO DC Super-Villains,Action-Adventure,XOne,Warner Bros. Interactive Entertainment,Traveller's Tales,0.3,0.2,0.07,,0.03
99,Sword Art Online: Fatal Bullet,Role-Playing,PS4,Namco Bandai Games,Dimps Corporation,0.29,0.11,0.03,0.13,0.03
100,Naruto to Boruto: Shinobi Striker,Action,PS4,Bandai Namco Games,Soleil Software Studio Inc.,0.29,0.19,0.03,0.02,0.05
101,Yooka-Laylee,Platform,PS4,Team17 Software,Playtonic Games,0.29,0.09,0.16,,0.05
102,NHL 19,Sports,XOne,EA Sports,EA Canada,0.29,0.26,,,0.03
103,Overcooked! 2,Simulation,NS,Sold Out,Ghost Town Games,0.29,0.17,0.09,0.01,0.03
104,Just Cause 4,Action-Adventure,XOne,Square Enix,Avalanche Studios,0.29,0.17,0.09,,0.03
105,WarioWare Gold,Misc,3DS,Nintendo,Intelligent Systems,0.28,0.11,0.03,0.13,0.01
106,Secret of Mana,Role-Playing,PS4,Square Enix,Square,0.28,0.06,0.12,0.05,0.04
107,Bravo Team,Shooter,PS4,Sony Interactive Entertainment,Supermassive Games Ltd.,0.27,0.12,0.09,0.02,0.04
108,Shenmue I & II,Action-Adventure,PS4,Sega,Sega,0.27,0.09,0.1,0.05,0.04
109,Carnival Games,Party,NS,2K Games,Cat Daddy Games,0.27,0.11,0.14,,0.02
